time,soc,soh,temp,voltage,current,v1,v2,R0,R1,R2,power,tte_estimate,brightness,cpu_load,gpu_load,network_traffic,signal_quality,gps_flag,power_base,power_screen,power_cpu,power_gpu,power_network,power_gps,power_background,stop_reason,actual_tte_s
3405.0,0.7431920606395077,0.9999999999978724,27.99907030414294,3.835313276494531,0.9769245023017636,0.004729911395354527,0.009470568806296398,0.014523879243044813,0.004841293081014938,0.009682586162029876,3.7468097112707897,9448.478170031105,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3415.0,0.7424053340330544,0.9999999999978664,28.004112735829,3.8343192068290834,0.9771777729714363,0.004728710199194678,0.009468096481376581,0.01451643421553661,0.004838811405178871,0.009677622810357741,3.7468097112707897,9436.029875027149,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3425.0,0.7416184034074302,0.9999999999978604,28.009140052503,3.8333250188192762,0.9774312051744664,0.004727516390988436,0.009465639044748272,0.014509013308772427,0.004836337769590809,0.009672675539181618,3.7468097112707897,9423.58388144952,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3435.0,0.7408312686324853,0.9999999999978544,28.014152300363797,3.8323307124607795,0.9776847990611348,0.004726329968068886,0.009463196490214364,0.014501616497366473,0.004833872165788824,0.009667744331577648,3.7468097112707897,9411.14019057741,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3445.0,0.7400439295779485,0.9999999999978484,28.01914952547211,3.831336287748945,0.9779385547819924,0.0047251509278225835,0.009460768811687852,0.01449424375609941,0.004831414585366469,0.009662829170732938,3.7468097112707897,9398.698803689933,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3455.0,0.7392563861134278,0.9999999999978424,28.024131773750934,3.8303417446788086,0.9781924724878616,0.0047239792676893036,0.009458356003191467,0.014486895059917675,0.004828965019972558,0.009657930039945115,3.7468097112707897,9386.259722066145,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3465.0,0.7384686381084091,0.9999999999978364,28.029099090985966,3.8293470832450915,0.9784465523297886,0.004722814985161847,0.009455958058857353,0.014479570383932844,0.004826523461310949,0.009653046922621897,3.7468097112707897,9373.82294698503,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3475.0,0.7376806854322567,0.9999999999978304,28.03405152282601,3.8283523034422005,0.9787007944591529,0.0047216580777861205,0.009453574972926771,0.014472269703420965,0.004824089901140322,0.009648179802280644,3.7468097112707897,9361.38847972552,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3485.0,0.7368925279542129,0.9999999999978244,28.03898911478342,3.827357405264227,0.9789551990275723,0.004720508543160838,0.009451206739749784,0.014464992993821925,0.004821664331273974,0.009643328662547948,3.7468097112707897,9348.956321566488,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3495.0,0.7361041655433976,0.9999999999978184,28.04391191223448,3.8263623887049514,0.9792097661869378,0.004719366378937357,0.009448853353784935,0.014457740230738755,0.004819246743579585,0.00963849348715917,3.7468097112707897,9336.52647378677,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3505.0,0.7353155980688085,0.9999999999978124,28.048819960419863,3.8253672537578436,0.9794644960893918,0.0047182315828194965,0.009446514809598886,0.01445051138993706,0.00481683712997902,0.00963367425995804,3.7468097112707897,9324.098937665167,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3515.0,0.7345268253993203,0.9999999999978064,28.053713304445,3.8243720004160595,0.9797193888873786,0.004717104152563599,0.009444191101866192,0.014443306447344305,0.004814435482448102,0.009628870964896204,3.7468097112707897,9311.673714480436,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3525.0,0.7337378474036852,0.9999999999978004,28.058591989280522,3.8233766286724453,0.9799744447336091,0.0047159840859782075,0.009441882225368936,0.014436125379049248,0.004812041793016416,0.009624083586032832,3.7468097112707897,9299.250805511312,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3535.0,0.7329486639505318,0.9999999999977944,28.06345605976266,3.8223811385195408,0.9802296637810316,0.004714871380923892,0.009439588174996412,0.014428968161301235,0.004809656053767079,0.009619312107534158,3.7468097112707897,9286.830212036513,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3545.0,0.7321592749083659,0.9999999999977884,28.06830556059366,3.821385529949573,0.9804850461829049,0.004713766035313323,0.00943730894574489,0.014421834770509635,0.004807278256836545,0.00961455651367309,3.7468097112707897,9274.411935334734,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3555.0,0.7313696801455692,0.9999999999977824,28.073140536342184,3.820389802954464,0.9807405920927228,0.0047126680471108046,0.009435044532717186,0.014414725183243158,0.004804908394414387,0.009609816788828773,3.7468097112707897,9261.99597668467,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3565.0,0.7305798795304002,0.9999999999977764,28.07796103144372,3.8193939575258278,0.9809963016643021,0.004711577414332554,0.009432794931122502,0.01440763937622927,0.004802546458743091,0.009605092917486182,3.7468097112707897,9249.582337364996,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
